Movie,Category,Boolean
博士之日,科幻,True
蝙蝠侠：黑暗骑士,科幻,True
超感猎杀：完结特别篇,科幻,True
盗梦空间,科幻,True
超感猎杀：圣诞特别篇,科幻,True
黑客帝国,科幻,True
星球大战2：帝国反击战,科幻,True
星际穿越,科幻,True
星球大战,科幻,True
神秘博士：瑞芙·桑恩的丈夫们,科幻,True
终结者2：审判日,科幻,True
回到未来,科幻,True
剧场版 假面骑士零一 REAL×TIME,科幻,True
复仇者联盟4：终局之战,科幻,True
复仇者联盟3：无限战争,科幻,True
蜘蛛侠：平行宇宙,科幻,True
神秘博士：博士之时,科幻,True
神秘博士：雪人,科幻,True
蝙蝠侠：黑暗骑士崛起,科幻,True
机器人总动员,科幻,True
异形,科幻,True
如此美好的一天,科幻,True
异形2,科幻,True
星球大战3：绝地归来,科幻,True
发条橙,科幻,True
2001太空漫游,科幻,True
堤,科幻,True
大都会,科幻,True
蝙蝠侠：侠影之谜,科幻,True
月球旅行记,科幻,True
扎克·施奈德版正义联盟,科幻,True
金刚狼3：殊死一战,科幻,True
今夕何夕,科幻,True
疯狂的麦克斯4：狂暴之路,科幻,True
佐杜洛夫斯基的沙丘,科幻,True
正义联盟：闪点悖论,科幻,True
肖申克的救赎,剧情,True
教父,剧情,True
蝙蝠侠：黑暗骑士,剧情,True
教父2,剧情,True
十二怒汉,剧情,True
超感猎杀：完结特别篇,剧情,True
呼叫助产士：2013圣诞特别篇,剧情,True
指环王3：王者无敌,剧情,True
低俗小说,剧情,True
辛德勒的名单,剧情,True
呼叫助产士：2014圣诞特别篇,剧情,True
剧院魅影：25周年纪念演出,剧情,True
盗梦空间,剧情,True
指环王1：魔戒再现,剧情,True
搏击俱乐部,剧情,True
阿甘正传,剧情,True
来自远方,剧情,True
银魂：最终篇,剧情,True
来自亚塞诺瓦茨的达拉,剧情,True
超感猎杀：圣诞特别篇,剧情,True
指环王2：双塔奇兵,剧情,True
好家伙,剧情,True
飞越疯人院,剧情,True
山2,剧情,True
寄生虫,剧情,True
星际穿越,剧情,True
上帝之城,剧情,True
千与千寻,剧情,True
绿里奇迹,剧情,True
拯救大兵瑞恩,剧情,True
美丽人生,剧情,True
七宗罪,剧情,True
沉默的羔羊,剧情,True
切腹,剧情,True
七武士,剧情,True
生活多美好,剧情,True
较量2,剧情,True
紫罗兰永恒花园 剧场版,剧情,True
球衣,剧情,True
福尔摩斯与华生医生历险记：巴斯克维尔的猎犬,剧情,True
爆裂鼓手,剧情,True
触不可及,剧情,True
无间道风云,剧情,True
致命魔术,剧情,True
灿烂人生,剧情,True
钢琴家,剧情,True
