Movie,Year,Country,Rating
博士之日,2013,英国,9.4
肖申克的救赎,1994,美国,9.3
教父,1972,美国,9.2
英勇赞曲,2020,印度,9.1
汉斯·季默：布拉格现场,2017,英国,9.1
久石让在武道馆：与宫崎骏动画一同走过的25年,2008,日本,9.1
蝙蝠侠：黑暗骑士,2008,美国,9.0
教父2,1974,美国,9.0
十二怒汉,1957,美国,9.0
大卫·爱登堡：地球上的一段生命旅程,2020,英国,9.0
超感猎杀：完结特别篇,2018,美国,9.0
泰勒·斯威夫特：1989世界巡回演唱会,2015,美国,9.0
呼叫助产士：2013圣诞特别篇,2013,英国,8.9
指环王3：王者无敌,2003,美国,8.9
低俗小说,1994,美国,8.9
辛德勒的名单,1993,美国,8.9
向死而生,2018,印度,8.9
呼叫助产士：2014圣诞特别篇,2014,英国,8.9
剧院魅影：25周年纪念演出,2011,英国,8.8
悲惨世界：25周年纪念演唱会,2010,英国,8.8
盗梦空间,2010,美国,8.8
指环王1：魔戒再现,2001,新西兰,8.8
搏击俱乐部,1999,美国,8.8
阿甘正传,1994,美国,8.8
黄金三镖客,1966,意大利,8.8
来自远方,2021,美国,8.8
银魂：最终篇,2021,日本,8.8
地球脉动：生命礼赞,2020,英国,8.8
汤姆叔叔,2020,美国,8.8
来自亚塞诺瓦茨的达拉,2020,塞尔维亚,8.8
超感猎杀：圣诞特别篇,2016,美国,8.8
戴夫·查普尔：温柔杀戮,2000,美国,8.8
人类,2015,法国,8.7
皇后乐队蒙特利尔现场演唱会,2007,英国,8.7
指环王2：双塔奇兵,2002,美国,8.7
黑客帝国,1999,美国,8.7
好家伙,1990,美国,8.7
星球大战2：帝国反击战,1980,美国,8.7
飞越疯人院,1975,美国,8.7
博·伯翰：隔离在家,2021,美国,8.7
金斯伯格有话说,2019,美国,8.7
三摩地 第2部 非你所想,2018,美国,8.7
山2,2016,土耳其,8.7
进击的巨人：编年史,2020,日本,8.6
寄生虫,2019,韩国,8.6
迷墙,2014,英国,8.6
星际穿越,2014,美国,8.6
阿黛尔伦敦爱尔伯特音乐厅演唱会,2011,英国,8.6
永不入睡：猛鬼街传奇,2010,美国,8.6
乔治·卡林：这对你不好,2008,美国,8.6
上帝之城,2002,巴西,8.6
千与千寻,2001,日本,8.6
绿里奇迹,1999,美国,8.6
拯救大兵瑞恩,1998,美国,8.6
美丽人生,1997,意大利,8.6
七宗罪,1995,美国,8.6
天地玄黄,1992,美国,8.6
沉默的羔羊,1991,美国,8.6
星球大战,1977,美国,8.6
切腹,1962,日本,8.6
夜与雾,1956,法国,8.6
七武士,1954,日本,8.6
生活多美好,1946,美国,8.6
较量2,2021,印度,8.6
山松 M-TP：Sky 巡回演唱会,2020,越南,8.6
灭绝的真相,2020,英国,8.6
紫罗兰永恒花园 剧场版,2020,日本,8.6
